2026-03-03 19:55:31.594 | INFO     | __main__:main:160 - Initializing Pipecat Insurance Agent components...
2026-03-03 19:55:31.594 | INFO     | pipecat.audio.vad.vad_analyzer:set_params:60 - Setting VAD params to: confidence=0.7 start_secs=0.2 stop_secs=2.0 min_volume=0.6
2026-03-03 19:55:31.594 | DEBUG    | pipecat.audio.vad.silero:__init__:114 - Loading Silero VAD model...
2026-03-03 19:55:31.617 | DEBUG    | pipecat.audio.vad.silero:__init__:136 - Loaded Silero VAD
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking PipelineSource#0 -> LocalAudioInputTransport#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking LocalAudioInputTransport#0 -> DeepgramSTTService#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking DeepgramSTTService#0 -> PrivateLayerEncryptFilter#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking PrivateLayerEncryptFilter#0 -> OpenAIUserContextAggregator#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking OpenAIUserContextAggregator#0 -> OpenAILLMService#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking OpenAILLMService#0 -> SentenceAggregator#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking SentenceAggregator#0 -> PrivateLayerDecryptFilter#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking PrivateLayerDecryptFilter#0 -> DeepgramTTSService#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking DeepgramTTSService#0 -> LocalAudioOutputTransport#0
2026-03-03 19:55:31.685 | DEBUG    | pipecat.processors.frame_processor:link:134 - Linking LocalAudioOutputTransport#0 -> OpenAIAssistantContextAggregator#0
